# Reduction : NTR-KZFD based ; Ising before applying embedding
k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
6,0.65,1100,0.89,0.6,1.0,0.47,1,2,0
6,0.65,1200,0.9139999999999999,0.6,1.0,0.59,1,2,0
6,0.65,1300,0.8760000000000001,0.6,1.0,0.41,1,2,1
6,0.65,1400,0.9,0.6,1.0,0.52,1,2,0
6,0.65,1500,0.894,0.6,1.0,0.48,1,2,1
6,0.65,1600,0.9019999999999999,0.6,1.0,0.57,1,2,1
6,0.65,1700,0.8859999999999999,0.6,1.0,0.49,1,2,1
6,0.65,1800,0.9059999999999999,0.6,1.0,0.57,1,2,0
6,0.65,1900,0.9079999999999999,0.6,1.0,0.58,1,2,0
6,0.65,2000,0.8859999999999999,0.6,1.0,0.48,1,2,0
7,0.65,100,0.94,0.6,1.0,0.71,1,2,1
7,0.65,200,0.9739999999999998,0.6,1.0,0.89,1,2,1
7,0.65,300,0.982,0.8,1.0,0.91,1,2,0
7,0.65,400,0.9919999999999999,0.8,1.0,0.96,1,2,0
7,0.65,500,0.9739999999999999,0.8,1.0,0.87,1,2,0
7,0.65,600,0.9719999999999999,0.8,1.0,0.86,1,2,0
7,0.65,700,0.98,0.8,1.0,0.9,1,2,0
7,0.65,800,0.9839999999999998,0.6,1.0,0.93,1,2,1
7,0.65,900,0.9859999999999998,0.8,1.0,0.93,1,2,0
7,0.65,1000,0.9879999999999999,0.8,1.0,0.94,1,2,0
7,0.65,1100,0.986,0.8,1.0,0.93,1,2,0
7,0.65,1200,0.9839999999999999,0.8,1.0,0.92,1,2,0
7,0.65,1300,0.9779999999999999,0.8,1.0,0.89,1,2,0
7,0.65,1400,0.9859999999999998,0.8,1.0,0.93,1,2,0
7,0.65,1500,0.9779999999999996,0.6,1.0,0.9,1,2,1
7,0.65,1600,0.9799999999999999,0.8,1.0,0.9,1,2,0
7,0.65,1700,0.9879999999999999,0.8,1.0,0.94,1,2,0
7,0.65,1800,0.9739999999999998,0.8,1.0,0.87,1,2,0
7,0.65,1900,0.9899999999999999,0.8,1.0,0.95,1,2,0
7,0.65,2000,0.986,0.8,1.0,0.93,1,2,0
8,0.65,100,0.964,0.6,1.0,0.83,1,2,1
8,0.65,200,0.9339999999999997,0.6,1.0,0.68,1,2,1
8,0.65,300,0.9779999999999999,0.6,1.0,0.92,1,2,0
8,0.65,400,0.9799999999999999,0.8,1.0,0.9,1,2,0
8,0.65,500,0.9799999999999999,0.8,1.0,0.9,1,2,0
8,0.65,600,0.9759999999999998,0.8,1.0,0.88,1,2,0
8,0.65,700,0.9799999999999998,0.6,1.0,0.91,1,2,1
8,0.65,800,0.9899999999999999,0.8,1.0,0.95,1,2,0
8,0.65,900,0.98,0.6,1.0,0.91,1,2,1
8,0.65,1000,0.9779999999999999,0.6,1.0,0.9,1,2,1
8,0.65,1100,0.9779999999999999,0.6,1.0,0.9,1,2,1
8,0.65,1200,0.98,0.8,1.0,0.9,1,2,0
8,0.65,1300,0.982,0.8,1.0,0.91,1,2,0
8,0.65,1400,0.9840000000000001,0.8,1.0,0.92,1,2,0
8,0.65,1500,0.9799999999999998,0.8,1.0,0.9,1,2,0
8,0.65,1600,0.9859999999999998,0.8,1.0,0.93,1,2,1
8,0.65,1700,0.9879999999999999,0.6,1.0,0.95,1,2,1
8,0.65,1800,0.9779999999999999,0.6,1.0,0.9,1,2,1
8,0.65,1900,0.9779999999999996,0.6,1.0,0.9,1,2,1
8,0.65,2000,0.978,0.8,1.0,0.89,1,2,0
9,0.65,100,0.9619999999999999,0.6,1.0,0.84,1,2,1
9,0.65,200,0.9859999999999998,0.6,1.0,0.94,1,2,1
9,0.65,300,0.9779999999999999,0.8,1.0,0.89,1,2,0
9,0.65,400,0.9639999999999997,0.6,1.0,0.84,1,2,1
9,0.65,500,0.9679999999999999,0.6,1.0,0.86,1,2,0
9,0.65,600,0.9599999999999997,0.6,1.0,0.83,1,2,1
9,0.65,700,0.9679999999999996,0.6,1.0,0.86,1,2,0
9,0.65,800,0.944,0.6,1.0,0.77,1,2,1
9,0.65,900,0.9639999999999997,0.6,1.0,0.84,1,2,1
9,0.65,1000,0.9700000000000002,0.8,1.0,0.85,1,2,0
9,0.65,1100,0.9579999999999997,0.6,1.0,0.81,1,2,1
9,0.65,1200,0.9519999999999998,0.4,1.0,0.79,1,2,0
9,0.65,1300,0.9460000000000001,0.6,1.0,0.75,1,2,1
9,0.65,1400,0.954,0.6,1.0,0.79,1,2,1
9,0.65,1500,0.9779999999999999,0.8,1.0,0.89,1,2,0
9,0.65,1600,0.9479999999999998,0.6,1.0,0.76,1,2,0
9,0.65,1700,0.9380000000000002,0.6,1.0,0.73,1,2,1
9,0.65,1800,0.96,0.6,1.0,0.82,1,2,1
9,0.65,1900,0.9719999999999999,0.8,1.0,0.86,1,2,0
9,0.65,2000,0.9639999999999997,0.4,1.0,0.85,1,2,0
