j,k,meanr,minr,maxr,proba
3,9,0.601875,0.1875,0.8125,0.0
4,0,0.6235294117647058,0.35294117647058826,0.8235294117647058,0.0
4,1,0.6111764705882353,0.29411764705882354,0.8823529411764706,0.0
4,2,0.5982352941176471,0.29411764705882354,0.7647058823529411,0.0
4,3,0.5964705882352942,0.23529411764705882,0.8823529411764706,0.0
4,4,0.5994117647058822,0.23529411764705882,0.8823529411764706,0.0
4,5,0.6052941176470589,0.23529411764705882,0.8235294117647058,0.0
4,6,0.6058823529411765,0.35294117647058826,0.8235294117647058,0.0
4,7,0.6047058823529411,0.23529411764705882,0.8823529411764706,0.0
4,8,0.6205882352941176,0.35294117647058826,0.8235294117647058,0.0
4,9,0.6064705882352941,0.35294117647058826,0.8235294117647058,0.0
5,0,0.6211111111111112,0.3888888888888889,0.8888888888888888,0.0
5,1,0.6205555555555555,0.3888888888888889,0.8888888888888888,0.0
5,2,0.6200000000000001,0.3333333333333333,0.8333333333333334,0.0
5,3,0.6244444444444446,0.2777777777777778,0.8888888888888888,0.0
5,4,0.6455555555555559,0.4444444444444444,0.8888888888888888,0.0
5,5,0.6211111111111112,0.3333333333333333,0.8888888888888888,0.0
5,6,0.645,0.2777777777777778,0.8333333333333334,0.0
5,7,0.6072222222222223,0.3333333333333333,0.8333333333333334,0.0
5,8,0.6077777777777776,0.16666666666666666,0.8333333333333334,0.0
5,9,0.6161111111111114,0.3333333333333333,0.8888888888888888,0.0
6,0,0.6144444444444449,0.2777777777777778,0.8888888888888888,0.0
6,1,0.6366666666666668,0.2777777777777778,0.8888888888888888,0.0
6,2,0.6166666666666667,0.3333333333333333,0.8888888888888888,0.0
6,3,0.6361111111111111,0.2777777777777778,0.8333333333333334,0.0
6,4,0.6216666666666666,0.3333333333333333,0.8888888888888888,0.0
6,5,0.64,0.3333333333333333,0.8888888888888888,0.0
6,6,0.6288888888888892,0.2777777777777778,0.8333333333333334,0.0
6,7,0.6372222222222225,0.3333333333333333,0.8888888888888888,0.0
6,8,0.6461111111111112,0.4444444444444444,0.8333333333333334,0.0
6,9,0.5983333333333334,0.2222222222222222,0.8888888888888888,0.0
7,0,0.618235294117647,0.29411764705882354,0.8235294117647058,0.0
7,1,0.6364705882352941,0.29411764705882354,0.8235294117647058,0.0
7,2,0.6211764705882353,0.23529411764705882,0.9411764705882353,0.0
7,3,0.6347058823529413,0.4117647058823529,0.8235294117647058,0.0
7,4,0.6241176470588234,0.29411764705882354,0.8235294117647058,0.0
7,5,0.6370588235294117,0.23529411764705882,0.8235294117647058,0.0
7,6,0.6535294117647061,0.4117647058823529,0.8823529411764706,0.0
7,7,0.618235294117647,0.35294117647058826,0.8235294117647058,0.0
7,8,0.6070588235294118,0.23529411764705882,0.8235294117647058,0.0
7,9,0.6494117647058821,0.35294117647058826,0.8235294117647058,0.0
8,0,0.51875,0.1875,0.8125,0.0
8,1,0.53375,0.25,0.8125,0.0
8,2,0.504375,0.1875,0.8125,0.0
8,3,0.516875,0.25,0.75,0.0
8,4,0.559375,0.1875,0.875,0.0
8,5,0.52125,0.25,0.8125,0.0
8,6,0.524375,0.1875,0.875,0.0
8,7,0.52375,0.1875,0.8125,0.0
8,8,0.535625,0.1875,0.75,0.0
8,9,0.554375,0.25,0.8125,0.0
9,0,0.56625,0.1875,0.8125,0.0
9,1,0.578125,0.1875,0.875,0.0
9,2,0.593125,0.3125,0.875,0.0
9,3,0.5775,0.25,0.875,0.0
9,4,0.575625,0.3125,0.8125,0.0
9,5,0.583125,0.25,0.875,0.0
9,6,0.588125,0.1875,0.8125,0.0
9,7,0.588125,0.1875,0.9375,0.0
9,8,0.57875,0.1875,0.8125,0.0
9,9,0.586875,0.3125,0.8125,0.0
10,0,0.505,0.1875,0.75,0.0
10,1,0.52,0.125,0.8125,0.0
10,2,0.515,0.25,0.75,0.0
10,3,0.4875,0.25,0.8125,0.0
10,4,0.505,0.25,0.875,0.0
10,5,0.514375,0.25,0.875,0.0
10,6,0.50875,0.1875,0.8125,0.0
10,7,0.505625,0.25,0.8125,0.0
10,8,0.500625,0.125,0.8125,0.0
10,9,0.488125,0.25,0.75,0.0
11,0,0.506875,0.1875,0.8125,0.0
11,1,0.545625,0.25,0.875,0.0
11,2,0.496875,0.125,0.75,0.0
11,3,0.505625,0.25,0.875,0.0
11,4,0.5125,0.125,0.9375,0.0
11,5,0.53125,0.25,0.8125,0.0
11,6,0.534375,0.25,0.8125,0.0
11,7,0.5,0.1875,0.8125,0.0
11,8,0.495625,0.1875,0.75,0.0
11,9,0.5025,0.1875,0.8125,0.0
12,0,0.6088235294117647,0.29411764705882354,0.8235294117647058,0.0
12,1,0.5894117647058823,0.23529411764705882,0.8823529411764706,0.0
12,2,0.598235294117647,0.35294117647058826,0.8823529411764706,0.0
12,3,0.6135294117647061,0.29411764705882354,0.8235294117647058,0.0
12,4,0.5776470588235293,0.17647058823529413,0.8235294117647058,0.0
12,5,0.6000000000000003,0.29411764705882354,0.8823529411764706,0.0
12,6,0.5888235294117647,0.17647058823529413,0.8235294117647058,0.0
12,7,0.601176470588235,0.29411764705882354,0.8235294117647058,0.0
12,8,0.5935294117647062,0.23529411764705882,0.8235294117647058,0.0
12,9,0.6129411764705881,0.35294117647058826,0.8235294117647058,0.0
13,0,0.5379999999999999,0.06666666666666667,0.8,0.0
13,1,0.5506666666666665,0.13333333333333333,0.8,0.0
13,2,0.5606666666666668,0.2,0.8,0.0
13,3,0.5366666666666667,0.2,0.8,0.0
13,4,0.55,0.3333333333333333,0.8,0.0
13,5,0.5560000000000003,0.26666666666666666,0.9333333333333333,0.0
13,6,0.5273333333333332,0.2,0.8,0.0
13,7,0.5493333333333333,0.2,0.8,0.0
13,8,0.5313333333333332,0.26666666666666666,0.8,0.0
13,9,0.5680000000000002,0.26666666666666666,0.8666666666666667,0.0
14,0,0.6058823529411765,0.29411764705882354,0.8823529411764706,0.0
14,1,0.5958823529411764,0.35294117647058826,0.8235294117647058,0.0
14,2,0.6129411764705882,0.23529411764705882,0.8823529411764706,0.0
14,3,0.5882352941176471,0.35294117647058826,0.8823529411764706,0.0
14,4,0.6005882352941174,0.29411764705882354,0.9411764705882353,0.0
14,5,0.6005882352941179,0.23529411764705882,0.8235294117647058,0.0
14,6,0.6123529411764707,0.23529411764705882,0.8235294117647058,0.0
14,7,0.6176470588235292,0.29411764705882354,0.8235294117647058,0.0
14,8,0.6223529411764706,0.23529411764705882,0.8823529411764706,0.0
14,9,0.6023529411764705,0.23529411764705882,0.8823529411764706,0.0
