f,k,meanr,minr,maxr,proba
12,5,0.6357142857142858,0.35714285714285715,0.8928571428571429,0.0
12,6,0.6424999999999998,0.42857142857142855,0.8571428571428571,0.0
12,7,0.6342857142857142,0.39285714285714285,0.8571428571428571,0.0
12,8,0.640357142857143,0.35714285714285715,0.9285714285714286,0.0
12,9,0.650714285714286,0.32142857142857145,0.8571428571428571,0.0
13,0,0.6364285714285716,0.35714285714285715,0.8928571428571429,0.0
13,1,0.6446428571428572,0.39285714285714285,0.8571428571428571,0.0
13,2,0.6378571428571429,0.2857142857142857,0.9285714285714286,0.0
13,3,0.6346428571428571,0.39285714285714285,0.9285714285714286,0.0
13,4,0.6521428571428571,0.35714285714285715,0.8571428571428571,0.0
13,5,0.6396428571428573,0.39285714285714285,0.8214285714285714,0.0
13,6,0.6396428571428572,0.32142857142857145,0.8928571428571429,0.0
13,7,0.6492857142857141,0.35714285714285715,0.8928571428571429,0.0
13,8,0.6457142857142858,0.42857142857142855,0.8214285714285714,0.0
13,9,0.6582142857142859,0.42857142857142855,0.8928571428571429,0.0
14,0,0.665,0.2857142857142857,0.8571428571428571,0.0
14,1,0.6475,0.4642857142857143,0.9285714285714286,0.0
14,2,0.6457142857142856,0.39285714285714285,1.0,0.01
14,3,0.6492857142857145,0.4642857142857143,0.8571428571428571,0.0
14,4,0.6528571428571428,0.2857142857142857,0.8571428571428571,0.0
14,5,0.632857142857143,0.32142857142857145,0.9285714285714286,0.0
14,6,0.6296428571428574,0.35714285714285715,0.8571428571428571,0.0
14,7,0.6424999999999998,0.35714285714285715,0.8571428571428571,0.0
14,8,0.6575,0.35714285714285715,0.8928571428571429,0.0
14,9,0.6317857142857142,0.39285714285714285,0.8928571428571429,0.0
